"","OTU_R246","OTU_R264","OTU_R277","OTU_R159","OTU_R641","OTU_R1144","OTU_R299","OTU_R2606","OTU_R1602","OTU_R1153","OTU_R455","OTU_R559","OTU_R998","OTU_R4107","OTU_R327","OTU_R1510","OTU_R1035","OTU_R386","OTU_R249","OTU_R242","OTU_R445","OTU_R1246","OTU_R1627","OTU_R253","OTU_R2837","OTU_R1388","OTU_R656","OTU_R4946","OTU_R1006","OTU_R580","OTU_R250","OTU_R556","OTU_R330","OTU_R37","OTU_R2260","OTU_R685","OTU_R757","OTU_R2165","OTU_R177","OTU_R439","OTU_R6893","OTU_R285","OTU_R1305","OTU_R487","OTU_R490","OTU_R1858","OTU_R1552","OTU_R13179","OTU_R2205","OTU_R167","OTU_R704","OTU_R2329","OTU_R543","OTU_R308","OTU_R546","OTU_R1729","OTU_R615","OTU_R1890","OTU_R4346","OTU_R2071","OTU_R4415","OTU_R3948","OTU_R3230","OTU_R1586","OTU_R1201","OTU_R223","OTU_R398","OTU_R1498","OTU_R248","OTU_R3478","OTU_R473","OTU_R1177","OTU_R610","OTU_R1090","OTU_R6508","OTU_R1229","OTU_R464","OTU_R649","OTU_R640","OTU_R5876","OTU_R2398","OTU_R1470","OTU_R423","OTU_R1537","OTU_R261","OTU_R777","OTU_R3243","OTU_R1018","OTU_R147","OTU_R2012","OTU_R1513","OTU_R3558","OTU_R2244","OTU_R266","OTU_R114","OTU_R1759","OTU_R152","OTU_R96","OTU_R1522","OTU_R1796","OTU_R8016","OTU_R4400","OTU_R6791","OTU_R235","OTU_R319","OTU_R1094","OTU_R1361","OTU_R1382","OTU_R8111","OTU_R9729","OTU_R3381","OTU_R1089","OTU_R2484","OTU_R343","OTU_R4863","OTU_R268","OTU_R368","OTU_R1356","OTU_R1906","OTU_R646","OTU_R1550","OTU_R4359","OTU_R1512","OTU_R347","OTU_R304","OTU_R1800","OTU_R111","OTU_R1582","OTU_R1689","OTU_R3233","OTU_R507","OTU_R3453","OTU_R95","OTU_R5709","OTU_R582","OTU_R3982","OTU_R1367","OTU_R220","OTU_R461","OTU_R1072","OTU_R73","OTU_R526","OTU_R2280","OTU_R1457","OTU_R896","OTU_R1242","OTU_R1049","OTU_R3077","OTU_R6283","OTU_R1171","OTU_R13850","OTU_R2191","OTU_R342","OTU_R576","OTU_R4205","OTU_R983","OTU_R290","OTU_R3436","OTU_R1151","OTU_R2052","OTU_R571","OTU_R3347","OTU_R2383","OTU_R5917","OTU_R2287","OTU_R2585","OTU_R1945","OTU_R1962","OTU_R632","OTU_R1731","OTU_R630","OTU_R736","OTU_R1014","OTU_R1028","OTU_R1068","OTU_R313","OTU_R1244","OTU_R1344","OTU_R1401","OTU_R2128","OTU_R51","OTU_R4281","OTU_R2065","OTU_R8767","OTU_R7718","OTU_R8","OTU_R10582","OTU_R301","OTU_R3936","OTU_R1381","OTU_R3799","OTU_R618","OTU_R877","OTU_R631","OTU_R8754","OTU_R4593","OTU_R1031","OTU_R2206","OTU_R2242","OTU_R1533","OTU_R4330","OTU_R3143","OTU_R2135","OTU_R4504","OTU_R858","OTU_R1501","OTU_R221","OTU_R267","OTU_R1136","OTU_R880","OTU_R1433","OTU_R463","OTU_R1594"
"OTU_R246",1,0,0.529615749078608,0.0928408650860187,0.681423962375343,0.586118929891981,0,0.606480171395162,0,0,0,0,0.0778229096820525,0.572042594445032,0.561060437941503,0.575901337578973,0.10294763033891,0.575800413710873,0.535761238122061,0.528067089112382,0.560806896917445,0,0,0,0,0.0671905804786287,0,0,0.127288750286298,0.519949225606497,0,0,0,0,0,0,0,0,0.123949145910391,0,0,0,0,0,0,0,0,0,0,0.110239821284182,0,0,0,0,0,0,0,0,0.552582688385693,0,0,0,0,0,0,0,0,0,0,0.0838342159576733,0,0.0783306641718361,0,0,0,0,0.552182953321228,0,0,0,0,0.104447370501246,0,0,0,0,0,0.55713164373413,0.102605116109292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118767678359414,0.112052579879084,0.0838821553414747,0,0,0,0,0,0,0,0,0.521272601241287,0,0,0,0,0,0,0,0,0,0,0,0.110812759855785,0,0,0,0,0,0,0.110506843826618,0.0793314621126368,0.0887223229076408,0,0.116735590535627,0,0,0,0.082638225348815,0,0.0944956012523117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808657044980819,0,0,0,0,0.0858078575538416,0,0,0,0,0,0,0,0,0,0,0.0695887044121444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0940600294873499,0,0,0,0,0.0961621364304923,0,0
"OTU_R264",0,1,0.530857522787917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528119456253886,0,0,0.595545247846802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12343405489009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547170488847912,0.129025950043802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_R277",0.529615749078608,0.530857522787917,1,0.12199173811242,0.560336095601659,0,0.519012244362989,0.542641107312026,0,0,0,0,0.119132063118655,0,0.562750430434723,0.527175992273546,0.0971550471507812,0,0.541915503043063,0,0,0,0,0,0.515246297838625,0.0802927191644138,0,0,0.0963124071810325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115071679892882,0,0,0,0,0,0.0699027688252154,0.517928059560925,0.516888538141955,0,0,0,0,0,0,0.570124167068678,0,0,0,0,0,0.126911046951618,0,0,0.110236904126511,0,0,0,0.0931737532209372,0,0,0,0.129156643284171,0.59418981009493,0,0,0,0,0.114838445005088,0.540037260114517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935482939244566,0,0.0953941589951798,0,0,0,0,0,0,0,0,0,0.0826378136784351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809868039656917,0,0,0,0,0,0.0896804511874814,0,0.123636659942152,0,0,0,0.101528878349921,0,0.1011673537122,0,0,0,0,0,0,0.117436090534027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101541803330102,0,0,0,0,0.0527439134945783,0,0,0,0,0,0,0,0,0,0,0.0883519276587291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109259242497065,0,0,0,0
"OTU_R159",0.0928408650860187,0,0.12199173811242,1,0.0596931805790542,0,0,0,0,0,0.124800778601811,0,0.721422070408321,0,0.125496390832181,0.110940695193962,0.720625084428237,0,0,0.0962769723847997,0,0.128955036598526,0,0,0,0.734865992943642,0,0,0.537086133625197,0,0,0.0951782906347096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120158834722535,0,0,0,0.657763767384906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588545093654784,0,0.645476654050885,0,0.619197076427721,0,0,0,0,0.117596969658345,0,0,0,0,0.68816853008031,0,0,0,0,0,0,0.622838283344211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617908883173307,0.663188637084467,0.613806747025258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570925297548693,0,0,0,0,0,0,0.520071497381492,0.610489733546186,0.589173241201768,0,0.525025382885417,0,0.519296167568011,0,0.730919317196183,0,0.707499315579555,0,0,0,0,0,0.562436367198354,0,0,0,0,0,0,0.521065562059934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661766807683107,0,0,0,0,0.600054233945975,0,0,0,0,0,0,0,0,0,0,0.676016340887455,0,0,0,0,0,0,0,0.608549819682995,0,0,0,0,0,0,0,0.599831344285081,0,0,0,0,0.572511153182504,0,0
"OTU_R641",0.681423962375343,0,0.560336095601659,0.0596931805790542,1,0.6432671600952,0,0.610637264146318,0,0,0,0,0.0319334203970004,0.575488178604791,0.62812512212661,0.684297707339061,0.0867920494988283,0.67281875932893,0.63602219226074,0,0.635186206588786,0,0,0,0.570394742652939,0.0408142737319551,0.522625055887713,0,0.0967787633890733,0.571644144250753,0,0.537114042089568,0,0,0,0,0.530063446110675,0,0.106567357365503,0,0,0,0,0,0,0,0,0,0,0.0604441510887992,0,0,0,0,0,0,0,0,0.568974352630312,0,0,0,0,0,0,0,0,0.102787390877992,0,0.0535728630952871,0,0.0833048728787615,0,0,0,0,0.580759381831338,0,0,0,0,0.0520180890362928,0,0,0,0,0,0.509610595593859,0.0569704367900715,0,0,0,0,0,0,0,0,0,0.509043523736181,0,0,0,0,0,0,0.100458734006826,0.0464544794416215,0.0728915820438868,0,0,0,0,0,0,0,0,0.58030527508893,0.124457426968636,0,0,0,0,0,0,0,0,0,0,0.0932275000498123,0,0,0,0,0,0,0.107063578069075,0.0430800722689484,0.108996888035566,0,0.109671331847018,0,0.0994547340526331,0,0.0308498606536949,0,0.0658847824960763,0,0,0,0,0,0.111029793946902,0,0.515033093001651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611363758365695,0,0,0,0,0.0893281129482549,0,0,0,0,0,0,0,0,0,0,0.0436144978066934,0,0,0,0,0.125452082644003,0,0,0.116951971081828,0,0,0,0,0,0,0,0.0560087891273016,0,0,0,0,0.0847223690303205,0,0
"OTU_R1144",0.586118929891981,0,0,0,0.6432671600952,1,0,0.51579569624382,0,0,0,0,0.126011266620403,0.5433778424429,0.567366463336551,0.546289804579092,0,0.603256041441095,0.583147328068125,0,0.653326542577468,0,0,0,0.533819526858582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117594312908727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52487467382284,0,0,0,0,0,0,0,0,0,0,0.11499793656858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108094183598724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536739235769497,0,0.111970466939105,0,0,0,0,0,0,0,0,0,0.524583219925487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109071151880839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118233245521775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12736341251571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109978090182473,0,0,0,0,0,0,0
"OTU_R299",0,0,0.519012244362989,0,0,0,1,0,0,0,0,0.553090589569491,0,0,0,0,0,0,0,0,0,0,0,0.580029000251947,0,0,0,0,0,0,0,0,0.100220071972905,0,0,0,0,0,0,0,0.647848354877177,0,0.558220122611246,0.126473152186305,0,0,0,0,0,0,0.6101527718302,0.680842700287279,0,0,0,0,0,0,0,0,0.508550069191039,0,0,0,0,0,0,0,0,0,0,0,0,0.569278990524378,0,0,0,0,0,0,0,0,0.576256894841199,0,0,0,0,0,0,0,0.533876794565116,0,0,0,0,0,0,0,0,0,0,0,0.615234074231996,0,0,0.125746418008536,0,0,0,0.614323511149571,0,0,0.577984959956525,0,0,0,0,0,0,0,0,0,0,0,0,0.515663683049121,0,0,0,0,0,0,0,0.532818409927,0,0,0,0,0,0,0,0,0.567235244047151,0,0,0,0.115588941425471,0,0,0.118621929072273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945571718506887,0,0,0,0.575642772617083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116551956869208,0,0,0.554668603674069,0,0,0,0,0,0,0,0,0,0,0,0,0.105557518795882,0,0,0,0
"OTU_R2606",0.606480171395162,0,0.542641107312026,0,0.610637264146318,0.51579569624382,0,1,0,0,0,0,0.0938494106903419,0,0.558140096354631,0.571658080249188,0.112078432087201,0,0.590521375865939,0,0.510596826724867,0,0,0,0,0.0897979574096768,0.524770556971875,0,0.0875794416095687,0.524677908370616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0981799586713868,0,0,0,0,0,0.634303326998767,0,0,0.557511428739836,0,0,0,0,0,0,0,0,0,0,0.126298511397976,0,0.0941443408878546,0,0,0,0.112727870582704,0.532440532826304,0,0,0,0,0.103836703968494,0,0,0,0,0,0.559468946195309,0,0,0,0,0,0,0,0,0,0.128399142831775,0,0,0,0,0,0,0,0,0.105832361080779,0,0,0,0.5248622485378,0,0,0,0,0,0.604870560292372,0.0979882675296661,0,0.513410460948956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112432313904729,0,0.0976264746054732,0,0,0,0.0904020752073882,0,0.0983825716446042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786282670774938,0,0,0,0,0.0863121242725814,0,0,0,0,0,0,0,0,0,0,0.102676518640521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0891059406288172,0,0,0,0,0,0,0
"OTU_R1602",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534010597829651,0.125258057100986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128068718213424,0.127201327867126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_R1153",0,0,0,0,0,0,0,0,0,1,0.527345504081683,0,0,0,0,0,0,0,0,0.513930000504627,0,0,0,0,0.520830751255154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51633740750006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560358561689272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522634114180583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
